SPX 8/7/2018,NAME,GICS_SECTOR_NAME
ZION UW Equity,ZIONS BANCORP NA,Financials
ALK UN Equity,ALASKA AIR GROUP INC,Industrials
IVZ UN Equity,INVESCO LTD,Financials
INTU UW Equity,INTUIT INC,Information Technology
MS UN Equity,MORGAN STANLEY,Financials
MCHP UW Equity,MICROCHIP TECHNOLOGY INC,Information Technology
HOLX UW Equity,HOLOGIC INC,Health Care
CB UN Equity,CHUBB LTD,Financials
CFG UN Equity,CITIZENS FINANCIAL GROUP,Financials
ORLY UW Equity,O'REILLY AUTOMOTIVE INC,Consumer Discretionary
ALL UN Equity,ALLSTATE CORP,Financials
FLIR UW Equity,FLIR SYSTEMS INC,Information Technology
EQR UN Equity,EQUITY RESIDENTIAL,Real Estate
BWA UN Equity,BORGWARNER INC,Consumer Discretionary
NFX UN Equity,NEWFIELD EXPLORATION CO,Energy
INCY UW Equity,INCYTE CORP,Health Care
SPG UN Equity,SIMON PROPERTY GROUP INC,Real Estate
TWTR UN Equity,TWITTER INC,Communication Services
EMN UN Equity,EASTMAN CHEMICAL CO,Materials
AVB UN Equity,AVALONBAY COMMUNITIES INC,Real Estate
PRU UN Equity,PRUDENTIAL FINANCIAL INC,Financials
UPS UN Equity,UNITED PARCEL SERVICE-CL B,Industrials
AIV UN Equity,APARTMENT INVT & MGMT CO -A,Real Estate
WBA UW Equity,WALGREENS BOOTS ALLIANCE INC,Consumer Staples
MCK UN Equity,MCKESSON CORP,Health Care
LMT UN Equity,LOCKHEED MARTIN CORP,Industrials
ABC UN Equity,AMERISOURCEBERGEN CORP,Health Care
COF UN Equity,CAPITAL ONE FINANCIAL CORP,Financials
WAT UN Equity,WATERS CORP,Health Care
DLTR UW Equity,DOLLAR TREE INC,Consumer Discretionary
DRI UN Equity,DARDEN RESTAURANTS INC,Consumer Discretionary
NTAP UW Equity,NETAPP INC,Information Technology
DXC UN Equity,DXC TECHNOLOGY CO,Information Technology
CTXS UW Equity,CITRIX SYSTEMS INC,Information Technology
GT UW Equity,GOODYEAR TIRE & RUBBER CO,Consumer Discretionary
DVA UN Equity,DAVITA INC,Health Care
HIG UN Equity,HARTFORD FINANCIAL SVCS GRP,Financials
IRM UN Equity,IRON MOUNTAIN INC,Real Estate
EL UN Equity,ESTEE LAUDER COMPANIES-CL A,Consumer Staples
CDNS UW Equity,CADENCE DESIGN SYS INC,Information Technology
SRCL UW Equity,STERICYCLE INC,Industrials
UHS UN Equity,UNIVERSAL HEALTH SERVICES-B,Health Care
ETFC UW Equity,E*TRADE FINANCIAL CORP,Financials
SWKS UW Equity,SKYWORKS SOLUTIONS INC,Information Technology
NOV UN Equity,NATIONAL OILWELL VARCO INC,Energy
