Companies,Ticker,PE_Calc,PBV_Calc,IQ_MarketCap,IQ_TOTAL_DEBT_CAPITAL,IQ_NI_NORM_MARGIN,Return on Equity_Calc,IQ_RETURN_ASSETS,IQ_BETA_2YR
Danaher Corporation,NYSE:DHR,48.6852035,3.478433457,107777.247,35.9941,10.7033,7.17524291,4.0488,0.93769
"Darden Restaurants, Inc.",NYSE:DRI,28.40103892,6.046414884,14398.32439,70.2039,5.9391,21.28052341,7.0959,0.65918
DaVita Inc.,NYSE:DVA,21.37911952,4.194103309,9304.75974,74.6108,4.8759,16.20162806,5.6535,1.57449
Deere & Company,NYSE:DE,20.94673826,4.655487096,53133.07,79.8625,6.5314,21.48738937,3.773,1.32532
"Delta Air Lines, Inc.",NYSE:DAL,9.917587513,2.355351969,35490.43915,52.7811,7.9181,24.72090461,6.7299,1.00113
DENTSPLY SIRONA Inc.,NasdaqGS:XRAY,52.50552519,2.495836244,12628.64886,23.749,6.0699,4.715161367,2.7945,0.74584
Devon Energy Corporation,NYSE:DVN,11.30341612,1.384364484,8995.622,41.063,9.1652,12.18601144,6.4803,1.47409
"Diamondback Energy, Inc.",NasdaqGS:FANG,15.94769203,0.96146325,13450.07149,23.5828,23.62,6.090793442,5.7476,1.11007
"Digital Realty Trust, Inc.",NYSE:DLR,134.3775479,2.92745554,24424.46214,53.5467,5.6417,2.160978144,1.7782,0.54861
Discover Financial Services,NYSE:DFS,11.26530372,2.378597088,26403.43095,67.6102,29.9234,21.47806588,2.7106,1.43144
"Discovery, Inc.",NasdaqGS:DISC.A,11.84705522,2.345974596,21486.6083,58.4654,15.7313,19.85090695,7.1439,1.18637
DISH Network Corporation,NasdaqGS:DISH,14.49256769,1.6430838,16709.90876,57.1801,8.5507,11.55301505,3.7124,1.50974
Dollar General Corporation,NYSE:DG,29.84362566,5.917041931,39338.26717,63.1484,4.9132,19.77318197,7.883,0.63601
"Dollar Tree, Inc.",NasdaqGS:DLTR,24.2384748,3.538144875,21654.601,62.2842,3.8166,14.91156726,5.5143,0.39621
"Dominion Energy, Inc.",NYSE:D,34.0945967,2.404503466,66588.25452,58.4726,11.7746,7.174076441,2.6682,0.17699
Dover Corporation,NYSE:DOV,28.82416166,5.447892642,16439.7969,51.9324,7.9648,19.108948,7.5615,1.00223
Dow Inc.,NYSE:DOW,21.3886942,2.26297085,39373.43256,53.4427,4.1345,10.43903206,0,0
DTE Energy Company,NYSE:DTE,30.65776986,2.140308912,24078.44935,59.3604,5.6222,7.093114169,2.7482,0.25033
Duke Energy Corporation,NYSE:DUK,24.74256611,1.458819572,64883.92525,56.6893,10.5677,5.907562861,2.3768,0.16032
Duke Realty Corporation,NYSE:DRE,116.4587444,2.572521159,12798.8108,36.2457,10.5288,2.264769499,2.0014,0.5088
"DuPont de Nemours, Inc.",NYSE:DD,8.135798144,1.155585702,47656.09611,30.2582,6.9769,14.13631923,5.1134,0.79687
DXC Technology Company,NYSE:DXC,8.712497252,1.078337787,9233.8308,54.899,5.4829,11.01835181,4.2852,1.40552
E*TRADE Financial Corporation,NasdaqGS:ETFC,12.18275488,1.717796571,10061.12413,28.9837,30.1825,14.15112077,1.6659,1.37476
Eastman Chemical Company,NYSE:EMN,16.0831656,1.739946742,10474.47893,51.2357,7.0163,10.99605201,4.9386,1.34128
Eaton Corporation plc,NYSE:ETN,22.72002958,2.436107289,38607.426,34.9826,8.045,10.65446718,5.8699,1.09282
eBay Inc.,NasdaqGS:EBAY,25.83719313,8.746027095,28408.29489,72.0082,10.9962,30.47732872,7.1578,0.92179
Ecolab Inc.,NYSE:ECL,40.93850489,6.227681981,53356.917,45.9325,8.7732,15.50935974,7.0781,0.80069
Edison International,NYSE:EIX,24.68160284,1.948719234,25650.73919,55.6322,7.7506,8.326867422,2.4135,0.34476
Edwards Lifesciences Corporation,NYSE:EW,63.78853845,12.58826873,48037.84562,14.9526,18.1029,20.55443252,12.4344,1.09472
Electronic Arts Inc.,NasdaqGS:EA,40.43332615,4.22430918,30132.22382,14.8769,14.9857,11.01603602,7.4568,0.61315
Eli Lilly and Company,NYSE:LLY,30.74862907,32.49525808,115964.5945,82.1361,15.085,116.3110151,9.5253,0.76024
Emerson Electric Co.,NYSE:EMR,25.5803113,5.620191426,46131.21993,40.8818,9.9295,21.36906586,9.3611,1.21921
Entergy Corporation,NYSE:ETR,35.80788937,2.344592389,23529.88417,65.6637,5.7735,6.619525835,1.99,0.21937
"EOG Resources, Inc.",NYSE:EOG,18.30757311,2.056461108,43440.32497,22.2541,13.7105,11.35462246,6.9889,1.11064
Equifax Inc.,NYSE:EFX,88.42448958,6.544058433,16461.28606,56.3926,5.4024,7.354241471,3.3514,1.13263
"Equinix, Inc. (REIT)",NasdaqGS:EQIX,105.5851712,5.442554304,47682.82122,58.3219,8.1876,5.144220917,3.0755,0.48424
Equity Residential,NYSE:EQR,96.40520971,3.026147185,30703.5827,46.1024,11.8782,3.141430488,2.697,0.46146
"Essex Property Trust, Inc.",NYSE:ESS,117.1734726,3.23513495,20139.04426,48.6945,11.5849,2.769201056,2.5158,0.3668
"Everest Re Group, Ltd.",NYSE:RE,91.81581952,1.230279149,11052.36451,7.2185,1.5123,1.34671727,0.6273,0.52932
"Evergy, Inc.",NYSE:EVRG,33.33969486,1.662864474,14332.83175,53.668,8.9723,4.993889809,2.6169,0.14194
Eversource Energy,NYSE:ES,31.54433462,2.172624135,26337.98932,56.0423,9.6864,6.933614308,2.9555,0.347
Exelon Corporation,NasdaqGS:EXC,22.78550843,1.341609348,42962.35129,53.3653,5.3933,5.9304001,2.332,0.35633
"Expedia Group, Inc.",NasdaqGS:EXPE,31.70234455,3.893188381,16221.46701,48.6248,4.4048,12.2205132,2.9675,1.10075
"Expeditors International of Washington, Inc.",NasdaqGS:EXPD,24.59699007,5.740362546,12675.52167,14.5247,6.2009,24.18096044,14.2616,1.09895
Extra Space Storage Inc.,NYSE:EXR,53.35773474,5.384234596,13593.42355,63.8441,19.4066,10.21935693,4.9484,0.27271
Exxon Mobil Corporation,NYSE:XOM,24.14413657,1.536356007,291777.0743,21.1551,4.6753,6.3388691,2.5313,1.02792
"F5 Networks, Inc.",NasdaqGS:FFIV,24.6699894,4.825941233,8560.99418,0,15.2841,20.3192075,10.9605,0.92931
"Facebook, Inc.",NasdaqGS:FB,39.19463607,6.141023103,576794.2534,8.8547,22.1839,16.11698525,13.2268,1.21337
Fastenal Company,NasdaqGS:FAST,32.04566961,8.037165931,20781.7573,20.9531,12.2473,25.4816414,18.7443,1.18305
Federal Realty Investment Trust,NYSE:FRT,68.69776477,4.241895574,9802.09863,55.946,15.1115,6.23740804,3.3499,0.52254
FedEx Corporation,NYSE:FDX,72.4543289,2.284796395,41505.61196,64.3524,0.8215,3.188717269,1.5548,1.4775
"Fidelity National Information Services, Inc.",NYSE:FIS,67.08551794,1.691167798,83278.34133,29.6559,8.21,3.641263908,1.8305,0.8155
Fifth Third Bancorp,NasdaqGS:FITB,10.9231384,1.110411665,21531.30883,0,26.3481,10.38474466,1.4285,1.15825
First Republic Bank,NYSE:FRC,27.02702703,2.230213059,18945.24729,0,21.7217,8.349168734,0.8839,0.99399
FirstEnergy Corp.,NYSE:FE,26.17250307,3.567899308,25945.76817,74.3229,8.9088,13.55030062,3.4466,0.38061
"Fiserv, Inc.",NasdaqGS:FISV,57.74472609,2.388395495,77922.76607,40.6792,11.3886,7.288078242,2.4037,0.77083
"FleetCor Technologies, Inc.",NYSE:FLT,39.88450261,6.74223145,26299.90593,53.9406,25.3891,17.00567312,6.4602,0.92379
"FLIR Systems, Inc.",NasdaqGS:FLIR,38.51486674,3.766891819,7043.03618,29.5817,10.0143,9.723643954,6.541,0.83599
Flowserve Corporation,NYSE:FLS,27.64448572,3.614148093,6310.07634,46.5588,5.9156,13.14705902,5.6772,1.65406
FMC Corporation,NYSE:FMC,19.7676571,4.807000754,12734.70499,58.5459,13.2109,23.87994875,7.8185,1.20844
Ford Motor Company,NYSE:F,18.1445188,1.021817085,36120.21162,81.3259,1.2629,5.590247797,0.7764,0.73157
"Fortinet, Inc.",NasdaqGS:FTNT,81.8968229,14.86102926,17811.45327,3.3494,10.5976,18.74030544,6.1597,0.99916
